,DATE,kg_avg_price,fe_doy_sin,fe_doy_cos,fe_doy2_sin,fe_doy2_cos,fe_week_sin,fe_week_cos,fe_summer_ind,fe_stage_spring_facility,fe_stage_spring_openfield,fe_stage_semi_highland_1,fe_stage_highland,fe_stage_semi_highland_2,fe_stage_autumn
0,2011-01-03,2640.642175531688,0.0515843668694083,0.9986686402879996,0.1030313790431787,0.9946781061893646,0.0,1.0,0.0072532058010343,0,0,0,0,0,0
1,2011-01-04,1399.4102232082937,0.0687554084811394,0.9976335468520452,0.1371854040566005,0.9905453876091832,0.7818314824680298,0.6234898018587336,0.0067628442633904,0,0,0,0,0,0
2,2011-01-05,1472.4056469897405,0.0859061042613327,0.9963032375991964,0.1711770596101998,0.985240282501282,0.9749279121818236,-0.2225209339563143,0.0063025210714774,0,0,0,0,0,0
3,2011-01-06,1084.2885956247117,0.1030313790431787,0.9946781061893646,0.2049661139694953,0.9787690698649216,0.4338837391175582,-0.900968867902419,0.0058706306788869,0,0,0,0,0,0
4,2011-01-07,1052.723503823231,0.1201261651823505,0.9927586335250792,0.2385125751940764,0.9711394088771652,-0.433883739117558,-0.9009688679024191,0.0054656365237319,0,0,0,0,0,0
5,2011-01-08,928.776630418143,0.1371854040566005,0.9905453876091832,0.2717767384711357,0.9623603298276544,-0.9749279121818236,-0.2225209339563146,0.0050860692310127,0,0,0,0,0,0
6,2011-01-10,904.5143588030816,0.1711770596101998,0.985240282501282,0.3373010691361842,0.9413968285264122,0.0,1.0,0.0043976626339341,0,0,0,0,0,0
7,2011-01-11,897.2026046490269,0.1880994176117975,0.9821499931752292,0.3694836834473831,0.9292372181882051,0.7818314824680298,0.6234898018587336,0.0040862038707351,0,0,0,0,0,0
8,2011-01-12,950.4777545219272,0.2049661139694953,0.9787690698649216,0.4012289854475009,0.9159777842484876,0.9749279121818236,-0.2225209339563143,0.0037949292693038,0,0,0,0,0,0
9,2011-01-14,1089.3187199266783,0.2385125751940764,0.9711394088771652,0.4632579225674917,0.88622350294858,-0.433883739117558,-0.9009688679024191,0.0032683427650369,0,0,0,0,0,0
10,2011-01-15,1136.0494390663926,0.2551824131233728,0.966892928939152,0.4934681416772373,0.8697638720650646,-0.9749279121818236,-0.2225209339563146,0.0030308737915416,0,0,0,0,0,0
11,2011-01-17,1005.7742291965964,0.2882906407095177,0.957542952811672,0.5521013427459208,0.8337770129585915,0.0,1.0,0.0026025852527254,0,0,0,0,0,0
12,2011-01-18,1067.1993741569413,0.3047192331091634,0.9524422234305676,0.580454927809098,0.8142923779467267,0.7818314824680298,0.6234898018587336,0.0024099155339509,0,0,0,0,0,0
13,2011-01-19,1177.250578785177,0.321057654185271,0.9470596510722284,0.6081214998935418,0.7938439653781019,0.9749279121818236,-0.2225209339563143,0.0022304074712809,0,0,0,0,0,0
14,2011-01-20,1046.8966767243885,0.3373010691361842,0.9413968285264122,0.6350683134867438,0.7724559775191742,0.4338837391175582,-0.900968867902419,0.0020632513354787,0,0,0,0,0,0
15,2011-01-21,1226.866372099486,0.3534446712740877,0.9354554315134164,0.6612634749656386,0.7501537286959042,-0.433883739117558,-0.9009688679024191,0.0019076802879754,0,0,0,0,0,0
16,2011-01-22,1153.3403449607122,0.3694836834473831,0.9292372181882051,0.6866759803451553,0.726963615332308,-0.9749279121818236,-0.2225209339563146,0.0017629686236867,0,0,0,0,0,0
17,2011-01-24,1274.1565568434814,0.4012289854475009,0.9159777842484876,0.7350336741329412,0.6780306024735382,0.0,1.0,0.0015034159919344,0,0,0,0,0,0
18,2011-01-25,1165.0097789367628,0.4169258813287287,0.908940487313808,0.7579216274973472,0.6523456189565257,0.7818314824680298,0.6234898018587336,0.0013873139624241,0,0,0,0,0,0
19,2011-01-26,1138.8132377814582,0.4324994021339788,0.901634220265486,0.7799125224167177,0.6258885343075018,0.9749279121818236,-0.2225209339563143,0.0012795459378999,0,0,0,0,0,0
20,2011-01-27,1037.9832225468854,0.4479449394078911,0.8940611451454876,0.8009803309782905,0.5986906625177214,0.4338837391175582,-0.900968867902419,0.0011795668021961,0,0,0,0,0,0
21,2011-01-28,990.9741622456518,0.4632579225674917,0.88622350294858,0.8211001178128892,0.5707841943569036,-0.433883739117558,-0.9009688679024191,0.0010868628230603,0,0,0,0,0,0
22,2011-01-29,1051.5417680716355,0.4784338202547012,0.8781236129591848,0.8402480696078469,0.5422021592729844,-0.9749279121818236,-0.2225209339563146,0.0010009501745566,0,0,0,0,0,0
23,2011-01-31,1080.5973241995916,0.5083564379375122,0.8611467540480452,0.8755389928586302,0.4831474640149687,0.0,1.0,0.0008477045464715,0,0,0,0,0,0
24,2011-02-01,1041.0083699215718,0.5230943033491326,0.8522748088519838,0.8916401947968874,0.452744699607371,0.7818314824680298,0.6234898018587336,0.0007795407797602,0,0,0,0,0,0
25,2011-02-02,3863.041606886657,0.5376773767406141,0.8431506618282,0.9066860720977984,0.4218060770826634,0.9749279121818236,-0.2225209339563143,0.0007165041324157,0,0,0,0,0,0
26,2011-02-07,684.266293521375,0.6081214998935418,0.7938439653781019,0.9655071658143364,0.2603764827344581,0.0,1.0,0.0004665530201723,0,0,0,0,0,0
27,2011-02-08,634.7950282960638,0.6216868902665479,0.7832658619336791,0.9738922359149924,0.2270108209414184,0.7818314824680298,0.6234898018587336,0.0004275570451654,0,0,0,0,0,0
28,2011-02-09,800.4097892535392,0.6350683134867438,0.7724559775191742,0.981124629771712,0.1933764744102058,0.9749279121818236,-0.2225209339563143,0.0003916270330904,0,0,0,0,0,0
29,2011-02-10,624.6322686966862,0.6482618097757122,0.7614175109532997,0.9871957872910084,0.1595132519726365,0.4338837391175582,-0.900968867902419,0.0003585393208955,0,0,0,0,0,0
30,2011-02-11,661.0043863398589,0.6612634749656386,0.7501537286959042,0.992098522791769,0.1254612333527364,-0.433883739117558,-0.9009688679024191,0.0003280850598723,0,0,0,0,0,0
31,2011-02-12,659.4989827906084,0.6740694616546161,0.7386679638813748,0.9958270335100596,0.0912607217293118,-0.9749279121818236,-0.2225209339563146,0.0003000693589348,0,0,0,0,0,0
32,2011-02-14,598.9415422018687,0.6990793005655562,0.7150441465537444,0.9997451236925734,0.0225762630415454,0.0,1.0,0.0002805480820737,0,0,0,0,0,0
33,2011-02-15,878.115820635747,0.7112757519738152,0.7029130847082615,0.9999300657962056,-0.0118263906918325,0.7818314824680298,0.6234898018587336,0.0003068548257635,0,0,0,0,0,0
34,2011-02-16,820.3848279385674,0.7232617254437388,0.6905740195722294,0.9989315138848576,-0.0462150469837083,0.9749279121818236,-0.2225209339563143,0.0003354626279025,0,0,0,0,0,0
35,2011-02-17,775.1764128067075,0.7350336741329412,0.6780306024735382,0.9967506498213928,-0.0805490042187416,0.4338837391175582,-0.900968867902419,0.0003665564497251,0,0,0,0,0,0
